top_position,name,weeks_in_top,weekly_views,url_tarjeta
-,Los Money Makers,21,"3,084,722",https://charts.youtube.com/artist/%2Fg%2F11vhbyb6dy
60,Grupo Frontera,156,"3,065,947",https://charts.youtube.com/artist/%2Fg%2F11sgvcmrch
73,Joan Sebastian,445,"3,057,205",https://charts.youtube.com/artist/%2Fm%2F01lk985
61,Ñejo,358,"3,010,831",https://charts.youtube.com/artist/%2Fm%2F01v77sd
71,Luister La Voz,173,"2,987,433",https://charts.youtube.com/artist/%2Fg%2F11cn365gb3
68,Plan B,321,"2,976,445",https://charts.youtube.com/artist/%2Fg%2F11bc59sr5_
66,Marc Anthony,474,"2,974,057",https://charts.youtube.com/artist/%2Fm%2F01wv9p
72,Jhon Alex Castaño,459,"2,961,489",https://charts.youtube.com/artist/%2Fg%2F11bt_97ldr
75,Marco Antonio Solís,361,"2,920,473",https://charts.youtube.com/artist/%2Fm%2F01lzr4j
-,Jessi Uribe,409,"2,909,582",https://charts.youtube.com/artist/%2Fg%2F11j0j0zryr
83,Pastor Lopez,162,"2,892,128",https://charts.youtube.com/artist/%2Fg%2F11bx8pxv_4
76,Jesús Adrián Romero,471,"2,882,348",https://charts.youtube.com/artist/%2Fm%2F01myf7q
67,KPop Demon Hunters Cast,16,"2,881,574",https://charts.youtube.com/artist/%2Fg%2F11yd_1ykrm
98,Rodolfo Aicardi,209,"2,798,887",https://charts.youtube.com/artist/%2Fm%2F01wh81s
77,Keyvin Ce,204,"2,747,780",https://charts.youtube.com/artist/%2Fg%2F11h84ffxy4
86,Los Hermanos Zuleta,260,"2,737,446",https://charts.youtube.com/artist/%2Fm%2F01ssb8n
79,W Sound,63,"2,734,362",https://charts.youtube.com/artist/%2Fg%2F11w5bj10pp
74,Darell,408,"2,733,300",https://charts.youtube.com/artist/%2Fg%2F11gmzljldl
87,Zion & Lennox,67,"2,729,798",https://charts.youtube.com/artist/%2Fg%2F11bv2p268f
64,Luis Mateus,244,"2,696,135",https://charts.youtube.com/artist/%2Fg%2F11h4cfw4yz
85,Christian Nodal,413,"2,654,630",https://charts.youtube.com/artist/%2Fg%2F11fx8hgh71
84,Chencho Corleone,312,"2,652,135",https://charts.youtube.com/artist/%2Fm%2F0rqkf34
93,Emilio Oviedo,235,"2,611,851",https://charts.youtube.com/artist/%2Fg%2F11b7_vldxg
81,Camilo,347,"2,577,911",https://charts.youtube.com/artist/%2Fm%2F0g5x9ny
91,Jorge Celedón,348,"2,573,142",https://charts.youtube.com/artist/%2Fm%2F03y9ls_
-,Diego Daza,234,"2,570,150",https://charts.youtube.com/artist/%2Fg%2F11f4xs6sjl
78,Fonseca,454,"2,557,203",https://charts.youtube.com/artist/%2Fm%2F08_ncy
80,Kany Garcia,343,"2,543,883",https://charts.youtube.com/artist/%2Fm%2F02x227g
90,Maná,449,"2,522,446",https://charts.youtube.com/artist/%2Fm%2F057dj2
96,Carlos Vives,474,"2,514,752",https://charts.youtube.com/artist/%2Fm%2F016883
99,Canserbero,474,"2,502,664",https://charts.youtube.com/artist/%2Fm%2F0nhqs5r
94,Greeicy,417,"2,490,460",https://charts.youtube.com/artist/%2Fg%2F1hh_pcw_h
89,Hades66,102,"2,484,030",https://charts.youtube.com/artist/%2Fg%2F11p662k3h6
100,Justin Quiles,414,"2,460,292",https://charts.youtube.com/artist/%2Fm%2F012pbw04
-,Los Betos,277,"2,454,369",https://charts.youtube.com/artist/%2Fm%2F01qckq0
